barcode	replica	sampling	depth	completeness	pangolin	seq
barcode01	5	9000	100.017	NA	BA.1.1	omicron
barcode01	5	9500	100.017	NA	BA.1.1	omicron
barcode02	1	1000	2.97897	NA	Unassigned	omicron
barcode02	1	10000	10.4312	NA	AY.4	omicron
barcode02	1	1500	3.90248	NA	Unassigned	omicron
barcode02	1	2000	4.61204	NA	Unassigned	omicron
barcode02	1	2500	6.36704	NA	Unassigned	omicron
barcode02	1	3000	7.37141	NA	Unassigned	omicron
barcode02	1	3500	8.78565	NA	B.1	omicron
barcode02	1	4000	9.59826	NA	B.1	omicron
barcode02	1	4500	10.4312	NA	AY.4	omicron
barcode02	1	500	2.55669	NA	Unassigned	omicron
barcode02	1	5000	10.4312	NA	AY.4	omicron
barcode02	1	5500	10.4312	NA	AY.4	omicron
barcode02	1	6000	10.4312	NA	AY.4	omicron
barcode02	1	6500	10.4312	NA	AY.4	omicron
barcode02	1	7000	10.4312	NA	AY.4	omicron
barcode02	1	7500	10.4312	NA	AY.4	omicron
barcode02	1	8000	10.4312	NA	AY.4	omicron
barcode02	1	8500	10.4312	NA	AY.4	omicron
barcode02	1	9000	10.4312	NA	AY.4	omicron
barcode02	1	9500	10.4312	NA	AY.4	omicron
barcode02	2	1000	3.2903	NA	Unassigned	omicron
barcode02	2	10000	10.4312	NA	AY.4	omicron
barcode02	2	1500	3.37864	NA	Unassigned	omicron
barcode02	2	2000	4.17312	NA	Unassigned	omicron
barcode02	2	2500	5.4524	NA	Unassigned	omicron
barcode02	2	3000	6.45973	NA	Unassigned	omicron
barcode02	2	3500	7.36374	NA	Unassigned	omicron
barcode02	2	4000	8.79539	NA	AY.4	omicron
barcode02	2	4500	10.4312	NA	AY.4	omicron
barcode02	2	500	2.22604	NA	Unassigned	omicron
barcode02	2	5000	10.4312	NA	AY.4	omicron
barcode02	2	5500	10.4312	NA	AY.4	omicron
barcode02	2	6000	10.4312	NA	AY.4	omicron
barcode02	2	6500	10.4312	NA	AY.4	omicron
barcode02	2	7000	10.4312	NA	AY.4	omicron
barcode02	2	7500	10.4312	NA	AY.4	omicron
barcode02	2	8000	10.4312	NA	AY.4	omicron
barcode02	2	8500	10.4312	NA	AY.4	omicron
barcode02	2	9000	10.4312	NA	AY.4	omicron
barcode02	2	9500	10.4312	NA	AY.4	omicron
barcode02	3	1000	3.24305	NA	Unassigned	omicron
barcode02	3	10000	10.4312	NA	AY.4	omicron
barcode02	3	1500	4.20457	NA	Unassigned	omicron
barcode02	3	2000	5.00722	NA	Unassigned	omicron
barcode02	3	2500	6.27139	NA	Unassigned	omicron
barcode02	3	3000	7.25717	NA	Unassigned	omicron
barcode02	3	3500	8.47078	NA	AY.4	omicron
barcode02	3	4000	9.35522	NA	AY.4	omicron
barcode02	3	4500	10.4312	NA	AY.4	omicron
barcode02	3	500	2.52053	NA	Unassigned	omicron
barcode02	3	5000	10.4312	NA	AY.4	omicron
barcode02	3	5500	10.4312	NA	AY.4	omicron
barcode02	3	6000	10.4312	NA	AY.4	omicron
barcode02	3	6500	10.4312	NA	AY.4	omicron
barcode02	3	7000	10.4312	NA	AY.4	omicron
barcode02	3	7500	10.4312	NA	AY.4	omicron
barcode02	3	8000	10.4312	NA	AY.4	omicron
barcode02	3	8500	10.4312	NA	AY.4	omicron
barcode02	3	9000	10.4312	NA	AY.4	omicron
barcode02	3	9500	10.4312	NA	AY.4	omicron
barcode02	4	1000	2.69127	NA	Unassigned	omicron
